user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,text,date,hashtags,source,is_retweet
__peroon3__,,,4/24/2017 23:35,16,58,16,FALSE,The latest data from the US Centers for Disease Control and Prevention suggests more than 40 percent of new COVID-1… https://t.co/2djO1aELZm,1/14/2023 11:38,,IFTTT,FALSE
Newzroom Afrika,South Africa,"Newzroom Afrika is a premier 24-hour TV news channel broadcasting in Southern, East and West Africa live on @DStv and DStv Now Channel 405.",1/17/2019 6:32,493047,729,3818,FALSE,Department of health announced that it's monitoring and testing water waste particles of the newly discovered COVID… https://t.co/NxUTyxnvfC,1/14/2023 9:43,,Twitter Media Studio,FALSE
Cape Argus,"Cape Town, South Africa","Cape Town's oldest daily newspaper, bringing you the news since 1857. We publish in the morning and afternoon and online. Visit our Facebook page to comment.",11/8/2010 4:45,49699,820,394,FALSE,ICYMI: The National Health Department said it would not be imposing any travel restrictions or internal measures af… https://t.co/uVIt26r2Kw,1/14/2023 8:49,,Echobox,FALSE
Scrabbl,India,"Scrabbl keeps you amused and updated with global news, information on technology, culture, entertainment and trends.",12/2/2017 7:23,311,1032,346,FALSE,"What is #XBB15, The Most #Transmissible #Covid19 Subvariant Yet

https://t.co/DJ4JOfocda",1/14/2023 8:02,"['XBB15', 'Transmissible', 'Covid19']",Twitter Web App,FALSE
Tian_A1,Everywhere,Journalist observer specialized in analysis of international web media - Veritas vos liberabit,1/23/2016 13:06,1793,877,18167,FALSE,WHO updates #Covid19 guidelines [ https://t.co/8gP5DiRgwj ] It also says patients who test negative on an antigen-b… https://t.co/C5NcFHdHN7,1/14/2023 6:54,['Covid19'],Tiana1,FALSE
The Trending Fashions,India,We Provide All new Fashion Updates Follow us for latest Trending Fashions,4/6/2020 11:45,25,40,0,FALSE,"XBB.1.5 symptoms are more 'cold-like'
The latest COVID-19 variant, which is a subvariant of Omicron's XBB subvarian… https://t.co/smbzfcwGiE",1/14/2023 6:03,,IFTTT,FALSE
WPMT FOX43,"York, PA",#ExpectMore from @FOX43 News | @FOX43Weather @FOX43Sports | 📧 news@fox43.com | 📲 717-843-0043 | Facebook: https://t.co/MVxKxbeQcd,10/19/2007 15:44,83650,1184,61675,TRUE,XBB.1.5 COVID-19 subvariant: 4 Fast Facts https://t.co/Tx6Nb7XUo7,1/14/2023 5:19,,SocialNewsDesk,FALSE
Zoe Elizabeth Dodds,"Perth, Western Australia",,2/7/2020 11:06,3,111,410,FALSE,Masks recommended on long-haul flights by World Health Organization as COVID-19 subvariant XBB.1.5 spreads - ABC Ne… https://t.co/9U01K1LhZE,1/14/2023 5:14,,Twitter for iPhone,FALSE
Bilyonaryo,Philippines,We are an online magazine devoted to gathering all the latest news about rich billionaires and famous people!,11/24/2015 2:33,18670,188,350,FALSE,"The Omicron subvariant XBB.1.5, the most transmissible Covid-19 subvariant so far, is spreading quickly across the… https://t.co/EM4PQqOMzh",1/14/2023 4:44,,TweetDeck,FALSE
Business Standard,India,"Latest news on the economy, companies, markets, politics and technology from India's leading business daily.",6/1/2009 8:52,2229785,455,219,TRUE,Omicron new subvariant XBB.1.5 is estimated to account for 43 per cent of the Covid-19 cases in the US for the week… https://t.co/x7y8lEKt09,1/14/2023 4:11,,Echobox,FALSE
Eric Cheng,Singapore,"https://t.co/Pb7N1M1lyd
https://t.co/JmfPOK161p
https://t.co/74ZCf0isfK
https://t.co/UpD7jGymrm",6/3/2009 4:14,420,1997,32,FALSE,"Omicron subvariant XBB.1.5 could be dominant Covid-19 strain in Europe soon, says health agency https://t.co/uPTaYhyR8x",1/14/2023 4:02,,Twitter Web App,FALSE
The Philippine Star,Philippines,"The official Twitter account of The Philippine STAR, flagship title of the country's most successful print media enterprise.",1/23/2012 16:37,1446005,865,3280,TRUE,"The Omicron subvariant XBB.1.5, the most transmissible COVID-19 subvariant so far, is spreading quickly across the… https://t.co/y9zUs36DHl",1/14/2023 4:00,,TweetDeck,FALSE
The Newsmen,,"Your daily supplement of news, facts, analysis & opinion pieces. 📰
Participate in group discussions. GET THE APP NOW 
https://t.co/jF7n5puUXQ",9/18/2019 14:53,4213,775,154,FALSE,Omicron new subvariant XBB.1.5 is estimated to account for 43 per cent of the Covid-19 cases in the US for the week… https://t.co/LhdrwSBydb,1/14/2023 3:43,,Twitter Web App,FALSE
PhilSTAR L!fe,"Port Area, Manila","Everything you love, want, need.",6/2/2016 1:14,7614,108,73,TRUE,"The Omicron subvariant XBB.1.5, the most transmissible COVID-19 subvariant so far, is spreading quickly across the… https://t.co/alSuhN9sOO",1/14/2023 3:00,,TweetDeck,FALSE
Dimsumdaily Hong Kong,Hong Kong,Leading international English news blog which reports breaking news in  Hong Kong and around the world.,9/8/2019 11:59,4232,44,6,FALSE,Omicron subvariant XBB.1.5 accounts for nearly half U.S. new COVID-19 infections￼ https://t.co/IoYNXmd7Ga,1/14/2023 2:40,,Zapier.com,FALSE
Ommcom News,"Bhubaneshwar, India","Capturing Odisha Online. Breaking News Alert From Odisha, India & World..",5/24/2016 11:40,4471,436,900,FALSE,Omicron new subvariant XBB.1.5 is estimated to account for 43 per cent of the Covid-19 cases in the US for the week… https://t.co/WnaHl3VwQH,1/14/2023 2:29,,Twitter Web App,FALSE
Dave Lucas,The Internet,"🎙Broadcast Journalist | Opinions mine. @WAMCNews I ♡ pop culture, crypto Apasionada por la Música y las Fotos!",5/11/2007 16:13,15491,449,11111,TRUE,"XBB.1.5, the most transmissible COVID-19 subvariant yet! https://t.co/v5Vht4vpDx",1/14/2023 2:07,,Twitter for iPhone,FALSE
The Philippine Star,Philippines,"The official Twitter account of The Philippine STAR, flagship title of the country's most successful print media enterprise.",1/23/2012 16:37,1446005,865,3280,TRUE,The Omicron subvariant XBB.1.5 is the latest COVID-19 subvariant to be a dominant strain. Here's what you need to k… https://t.co/FPXymKElFc,1/14/2023 2:05,,TweetDeck,FALSE
PhilSTAR L!fe,"Port Area, Manila","Everything you love, want, need.",6/2/2016 1:14,7614,108,73,TRUE,The Omicron subvariant XBB.1.5 is the latest COVID-19 subvariant to be a dominant strain. Here's what you need to k… https://t.co/vP6tfTEQ6y,1/14/2023 2:00,,TweetDeck,FALSE
Simon Ishihara,"Honolulu, HI",Instagram Influencer. Speaker Of Public Conscience. Hawaii Lifestyle... look ahead don’t stand still.,8/14/2015 0:08,61,20,11,FALSE,CDC: Subvariant XBB.1.5 causing 43% of new COVID-19 cases in US | NHK WORLD-JAPAN News https://t.co/JScvlkeFzk.  “C… https://t.co/5zgrpmLJG7,1/14/2023 1:47,,Twitter for iPhone,FALSE
Marie Spiridigliozzi,"Glen Head, NY",,12/15/2011 0:08,39,365,22,FALSE,"A new Covid-19 omicron subvariant, XBB.1.5, is sweeping the country. https://t.co/A1KBY814f5",1/14/2023 1:36,,Twitter Web App,FALSE
Cheryl de Boissiere,,Agnostic. Resister. Trolls need not apply. Fuck Trump!!!,8/13/2015 4:26,18585,20381,133422,FALSE,XBB.1.5 COVID-19 subvariant: 4 Fast Facts https://t.co/cYlw42itp5 via @YouTube * Ohio,1/14/2023 1:20,,Twitter Web App,FALSE
OR Health Authority,Oregon,We're the state agency responsible for promoting better health and better care at lower costs for all Oregonians.,6/2/2010 20:01,32338,1439,3929,TRUE,Read our blog to explore how XBB.1.5 may have evolved and what we may expect from this subvariant in Oregon in the… https://t.co/hD6dbk0JzD,1/14/2023 1:00,,Hootsuite Inc.,FALSE
Philstar.com,"Manila, Philippines","The official digital arm of the STAR Group of Publications. We provide credible breaking news, in-depth reports, fact-checks, and contextual real-time coverage.",7/9/2009 2:48,980489,138,3804,TRUE,"The Omicron subvariant XBB.1.5, the most transmissible #COVID19 subvariant so far, is spreading quickly across the… https://t.co/xqlVmnlaap",1/14/2023 0:55,['COVID19'],TweetDeck,FALSE
Lotus Saigonner,"Houston, TX","Fighting for Freedom, Justice and Equality.",4/5/2009 1:51,1087,2289,23316,FALSE,CDC: Subvariant XBB.1.5 causing 43% of new COVID-19 cases in US | NHK WORLD-JAPAN News https://t.co/suDrKVf72I,1/14/2023 0:27,,Twitter Web App,FALSE
Gerson Borrero,,Political Commentator @NY1 & @NY1Noticias; Political Editor & Host of Estudio DC @hitn Ex: EAL @cityandstateNY; EIC @eldiariony Email: BorreroReports@gmail.com,3/19/2011 20:14,8187,1177,10449,FALSE,"‘As of Dec. 31, 73% of reported COVID-19 infections in the five boroughs were linked to the subvariant, data from t… https://t.co/841fhy8McO",1/13/2023 23:41,,Twitter for iPad,FALSE
🇨🇦 ABC progressive left of center voter,unceded Snuneymuxw territory,"I tweet Canadian politics.  Introvert INFJ, humanist, pacifist, critical thinker, singer,pro-science, pro-T&R, anti-facist anti-racist.  ⚖ Ally 🪶 🌈 ☮️   😷 💉",5/19/2008 20:25,5233,3541,194721,FALSE,B.C. confirms 24 cases of the new #COVID-19 #Omicron #XBB15 subvariant that has been spreading in the U.S. Variant… https://t.co/cTHViKrZTj,1/13/2023 23:35,"['COVID', 'Omicron', 'XBB15']",Twitter Web App,FALSE
Real News,"Chicago, IL","Once you eliminate the impossible, whatever remains, no matter how improbable, must be the truth.",5/29/2018 5:32,33,120,2020,FALSE,The fast-spreading Omicron subvariant XBB.1.5 is estimated to account for 43% of the COVID-19 cases in the United S… https://t.co/jdGUkudvRR,1/13/2023 23:31,,Twitter for Android,FALSE
Gary  Buckley™,Earth,"RT/follow, Usual caveats. Views ©™
Art, gardens, my world interests.

Unfollow me I unfollow you, that’s how it works.",5/8/2010 1:30,2215,1576,865,FALSE,The fast-spreading omicron subvariant XBB.1.5 is estimated to account for 43 percent of the COVID-19 cases in the U… https://t.co/E0oLIBgys4,1/13/2023 22:11,,Twitter for Android,FALSE
Carles Dijous (AAlb),"Barcelona, Spain",Colaborador docente UOC (Universitat Oberta de Catalunya). ICT observer.,12/28/2008 11:08,8895,5285,921,FALSE,#WHO Recommends Universal Masking in Crowded Spaces Given ‘Current Spread’ of #COVID19 Globally. The World Health O… https://t.co/zeBCceTsqp,1/13/2023 22:05,"['WHO', 'COVID19']",TweetDeck,FALSE
Chris Hendel,"Vermont, US","Adj Research Instr of Med, @KeckMedUSC; COVID research & projects, @ProPublica; fmr chief med researcher @ConsumerReports 1989-2018; also @chrishendel elsewhere",4/28/2009 12:25,3556,4429,128727,FALSE,"""New York City's health department said today on #Twitter that the XBB.1.5 subvariant accounts for 73% of sequenced… https://t.co/yZPZm3OQYs",1/13/2023 21:55,['Twitter'],Twitter Web App,FALSE
San Francisco Chronicle,"San Francisco, CA",Delivering the Bay Area’s best journalism every day. Subscribe and support the newsroom: https://t.co/p8tnyqwzKs,3/10/2010 0:44,296639,443,3329,TRUE,"On Friday, the CDC estimated that the XBB.1.5 omicron subvariant was detected in 43% of COVID-19 cases sequenced in… https://t.co/iigXdJPxZJ",1/13/2023 21:19,,SocialFlow,FALSE
Al Arabiya English,Dubai,The Arab world’s leading source of global news and opinion.,2/28/2009 8:31,925387,46,0,TRUE,The fast-spreading #omicron subvariant XBB.1.5 is estimated to account for 43 percent of the #COVID19 cases in the… https://t.co/upYdOy204t,1/13/2023 21:00,"['omicron', 'COVID19']",Sprinklr,FALSE
Brishti Basu,"Victoria, British Columbia",Journalist @CapitalDailyVic | brishti@capitaldaily.ca | Words in a bunch of places | she/her | DMs are open |,8/14/2014 10:06,5295,978,44303,FALSE,"On XBB.1.5/Kraken: It's now 5-6% of known COVID-19 cases in BC; Omicron BA 2 subvariant is still dominant in BC, DB… https://t.co/Rk4UUCNDtR",1/13/2023 20:53,,Twitter Web App,FALSE
Spectrum News NY1,New York City,The 24-hour news network dedicated to NYC. NY1 is also on Facebook (NY1News) and Instagram (NY1).,5/29/2009 22:37,464712,133,2071,TRUE,A highly transmissible new omicron subvariant known as XBB.1.5 accounts for more than 70% of the COVID-19 cases New… https://t.co/fL9G722pvh,1/13/2023 20:39,,SocialNewsDesk,FALSE
Regina Phelps 🇺🇦,"San Francisco, CA","Crisis Management, Exercise Design & Pandemic Planning Expert & Thought Leader, Author, Speaker, Consultant  Respect Science, Respect Nature, Respect Each Other",4/22/2007 12:21,1229,1052,4266,FALSE,#covid19 I love this quote in this STAT article on the latest and greatest subvariant - #XBB.1.5. Maria Van Kerkhov… https://t.co/mz1YIGMbIp,1/13/2023 20:11,"['covid19', 'XBB']",LinkedIn,FALSE
Gulf News,United Arab Emirates,We don't just cover the news - we uncover the truth. The official Twitter feed from Gulf News.,2/11/2009 8:21,1468760,240,1016,TRUE,"#Covid_19: Omicron subvariant XBB.1.5 could be dominant in Europe soon: Health agency 
#XBB15 #XBBvariant 
https://t.co/mx3lzqZtPX",1/13/2023 19:54,"['Covid_19', 'XBB15', 'XBBvariant']",TweetDeck,FALSE
Andy Vermaut,"Diksmuide, België","Linked to WCPDCD,  
RT is not endorsement 
ActNow for Climate 
People Forests 
Fundamental rights Postversa
Whatsapp +32499357495 
denktankcarmenta@gmail.com",4/17/2011 16:39,31422,34258,1914,FALSE,"Andy Vermaut shares:What Is XBB.1.5, The Most Transmissible Covid Subvariant Yet: The Omicron subvariant XBB.1.5, t… https://t.co/hzMR95yNhw",1/13/2023 19:42,,dlvr.it,FALSE
Andy Vermaut,"Diksmuide, België","Linked to WCPDCD,  
RT is not endorsement 
ActNow for Climate 
People Forests 
Fundamental rights Postversa
Whatsapp +32499357495 
denktankcarmenta@gmail.com",4/17/2011 16:39,31422,34258,1914,FALSE,Andy Vermaut shares:Omicron XBB.1.5 Accounts for 43% of US COVID Cases: CDC: The fast-spreading Omicron subvariant… https://t.co/ED2Rwnu35h,1/13/2023 19:36,,dlvr.it,FALSE
NEWSMAX,United States,"Real News for Real People. 

Watch NEWSMAX, an independent news network with a conservative perspective, available in 100M+ U.S. homes: https://t.co/rs8XZDalW3",2/10/2009 21:04,2022769,668,2086,TRUE,The fast-spreading omicron subvariant XBB.1.5 is estimated to account for 43% of the COVID-19 cases in the United S… https://t.co/XINWtOpEqH,1/13/2023 19:15,,Emplifi,FALSE
KUWAIT TIMES,Kuwait,The First English Daily in the Arabian Gulf | Since 1961 | For Arabic News @kuwaitnews,11/8/2011 19:01,45623,2,235,TRUE,"#Omicron subvariant XBB.1.5, which now accounts for a quarter of #US #COVID-19 cases, could become the dominant str… https://t.co/qfePtPDvdk",1/13/2023 18:53,"['Omicron', 'US', 'COVID']",Twitter for iPhone,FALSE
NYC EMS Watch,NYC,"A unique look at FDNY EMS EMTs & Paramedics, NYC EMS life in general, First Responder life everywhere & NYC politics. As always, unofficial, satirical and wry.",5/12/2010 17:39,17507,205,192754,FALSE,"New York City health officials warned Friday that the new XBB.1.5 COVID-19 subvariant ""is the most transmissible fo… https://t.co/ZQrx9rc1nZ",1/13/2023 18:10,,Twitter for Android,FALSE
VERIFY,,VERIFY is dedicated to fighting the spread of misinformation & helping you determine what's true and what's false. Part of @TEGNA.,11/16/2020 19:42,13641,152,315,TRUE,"Here are 4 Fast Facts about the new COVID-19 subvariant of omicron, XBB.1.5: https://t.co/nOxAISRwPO https://t.co/Iu3JRu32AG",1/13/2023 18:00,,SocialNewsDesk,FALSE
GMA News,Philippines,Welcome to the official Twitter account of GMA News in the Philippines.,5/12/2009 7:14,6467985,677,14963,TRUE,The Omicron subvariant XBB.1.5 is the most transmissible of the COVID-19 subvariants to emerge so far and has been… https://t.co/Hs7NPnmwX9,1/13/2023 18:00,,TweetDeck,FALSE
CHAP,"Arlington, VA",Our goal is to revolutionize the accreditation experience. Change the conversation. Advance the highest quality of home and community-based care.,8/5/2011 18:50,809,667,966,FALSE,"CHAP Health Update 1/13/23:
- FDA monitoring emergence of  XBB.1.5 subvariant
- Autopsies Show COVID-19 in Brain an… https://t.co/xf4qP6lbaF",1/13/2023 17:53,,Hootsuite Inc.,FALSE
My Care Labs,"California, USA","My Care Labs helps to counter the spread of #COVID19, #Flu, #RSV, and other diseases through our easy, accurate, no-cost tests.",12/1/2021 23:41,133,47,335,FALSE,"The new Xbb.1.5 subvariant now makes up around 28% of US COVID-19 cases. 
https://t.co/U8bUP4hs8f

Book your all-in… https://t.co/A2iGKPL7zo",1/13/2023 16:43,,Buffer,FALSE
HealthWise,,The online vertical of PUNCH Newspapers dedicated to health and related development stories,12/30/2019 13:38,357,213,912,FALSE,"XBB.1.5: What to know about most transmissible COVID-19 subvarianthttps
https://t.co/ZsiogrJ0AE
@NCDCgov @nmanigeria @Fmohnigeria",1/13/2023 16:36,,Twitter Web App,FALSE
Onward Nigeria,onwardng@gmail.com,I am Nigerian! |News•Marketing Communications•|PR|,7/6/2010 20:32,90944,95,33,FALSE,"XBB.1.5, The Most Transmissible COVID-19 Subvariant Yet https://t.co/eo7XlpY69J https://t.co/wNKHtKzFLN",1/13/2023 16:22,,dlvr.it,FALSE
Strawberry NG News,Nigeria,"Bite-sized news, that keeps you updated.",11/5/2010 10:27,2180,1688,6,FALSE,"The Omicron subvariant XBB.1.5, the most transmissible Covid-19 subvariant so far, is spreading quickly across the… https://t.co/6XGnLWmIgf",1/13/2023 16:21,,dlvr.it,FALSE
Channels Television,Nigeria,Channels Television is the 15-time winner of the 'Best TV station in Nigeria award' and the most-awarded television station in Africa.,3/22/2010 14:29,6137942,189,4786,TRUE,"XBB.1.5, The Most Transmissible COVID-19 Subvariant Yet

https://t.co/zhvEeJqc4L https://t.co/jaGeWisuAM",1/13/2023 16:20,,Twitter Web App,FALSE
Think FM Solutions,London,"We look after the cleaning so you can focus on your business! Commercial office cleaning & facilities management services.

Call 0844 826 4842 for a free quote!",11/30/2017 14:03,1480,240,1438,FALSE,"The highly infectious XBB.1.5 Covid subvariant is expected to drive the next wave of the virus in the UK. 

Protect… https://t.co/eRrOdD7jZg",1/13/2023 16:02,,Hootsuite Inc.,FALSE
News24,South Africa,South Africa's premier online news resource. Follow @TeamNews24 for all the action from our journalists 🇿🇦 SA's most trusted news source - Reuters Institute,5/8/2008 7:45,5231068,728,1232,TRUE,The Omicron subvariant XBB.1.5 is the most transmissible of the Covid-19 subvariants to emerge so far and has been… https://t.co/el4kpzuMgl,1/13/2023 15:45,,Hootsuite Inc.,FALSE
MoonFlower,Oregon ,"#TheResistance 🌊
No DM please. No Lists. Thank you.",1/28/2017 17:29,3349,3834,145449,FALSE,XBB.1.5 on its way to being predominant COVID-19 subvariant https://t.co/JsrhDv9wnN via @OHAOregon,1/13/2023 15:02,,Twitter Web App,FALSE
Erik Robinson,"Portland, Ore.",Communicator for Oregon Health & Science University. Opinions are my own.,2/4/2012 0:17,462,550,997,FALSE,XBB.1.5 on its way to being predominant COVID-19 subvariant https://t.co/yyVr4vivAi via @OHAOregon,1/13/2023 15:01,,Twitter Web App,FALSE
nychealthy,"New York, NY",nycHealthy is the official account of the NYC Department of Health and Mental Hygiene. User Policy: https://t.co/XIPRez1f1h,12/9/2008 18:13,97004,582,7865,TRUE,Omicron subvariant XBB.1.5 now accounts for 73% of all sequenced COVID-19 cases in NYC. XBB.1.5 is the most transmi… https://t.co/tZUt5tKmsn,1/13/2023 14:58,,Twitter Web App,FALSE
AlertsAndNews,Not Finance Advice ,"Market Research, timely alerts, fast news and your command center to take on the markets! Sign up below and try a trial today!",1/9/2017 20:01,1361,228,759,FALSE,$MRNA $JNJ $PFE $BNTX U.S. CDC Says Omicron Subvariant XBB.1.5 Represents 43% Of Total Covid-19 Cases In The United… https://t.co/WmW2FO9pjo,1/13/2023 14:37,,StockTwits Web,FALSE
AInvest Wire,New York,"Fastest free and breaking news in Stocks, Commodities, Forex, Indices, Economy and more.",4/18/2022 12:26,891,5,47,FALSE,"U.S. CDC says omicron subvariant Xbb.1.5 represents 43% of total COVID-19 cases in the United States, as of week en… https://t.co/wEJ41JKVmq",1/13/2023 14:35,,AinvestNews,FALSE
MrSauravThakur ,"Kathmandu,Nepal",⚠️ Lead Developer for @PriapusIQ - Building https://t.co/ddXdE0XA7v and Much More! 💪 Working hard is not a burden; it is an advantage.,12/25/2020 11:25,339,18,63,FALSE,"⚠️  U.S. CDC SAYS OMICRON SUBVARIANT XBB.1.5 REPRESENTS 43% OF TOTAL COVID-19 CASES IN THE UNITED STATES, AS OF WEE… https://t.co/cqBkU3Xq5t",1/13/2023 14:35,,PiQSuite,FALSE
PiQ,On The Wire,"⚠️ News. Commentary. Markets. Geopolitics.

⚠️ Check out our FREE Reuters newsfeed on PiQ Suite at https://t.co/RGP7sot5wA",8/11/2019 11:01,71233,1727,46556,FALSE,"⚠️  U.S. CDC SAYS OMICRON SUBVARIANT XBB.1.5 REPRESENTS 43% OF TOTAL COVID-19 CASES IN THE UNITED STATES, AS OF WEE… https://t.co/xS91EXqSpJ",1/13/2023 14:35,,PiQ-Suite,FALSE
theSun,Petaling Jaya,Breaking news updates from the website of Malaysia's free and largest circulating urban newspaper. Like Thesundaily on Facebook & Instagram.,7/29/2009 1:58,171382,458,3597,FALSE,"The Omicron subvariant XBB.1.5 is the most transmissible of the Covid-19 subvariants to emerge so far.

#theSun… https://t.co/LjYRmXlCEO",1/13/2023 13:32,['theSun'],Twitter Web App,FALSE
anache 🇺🇸 💙 🇺🇦🏳️‍🌈🏳️‍⚧️,Milky Way,"It was ""woke"" people who ended slavery, passed Civil Rights Act, Voting Rights Act, champion woman’s rights, LGBTQ rights. Why the GOP hates them. I am woke!",3/18/2010 19:24,9953,10913,11587,FALSE,WHO urges travellers to wear masks as new variant appears. XBB.1.5 is most transmissible Omicron subvariant detecte… https://t.co/jEbOdCHCtp,1/13/2023 12:58,,Twitter for iPhone,FALSE
shrikant jadhav,,🇮🇳❤️,11/26/2021 1:01,53,189,3629,FALSE,Covid-19: Omicron subvariant XBB.1.5 causes global concern; WHO warns na... https://t.co/nvYVLbaDEm via @YouTube… https://t.co/Y44ExnoJ6A,1/13/2023 11:40,,Twitter Web App,FALSE
Dimsumdaily Hong Kong,Hong Kong,Leading international English news blog which reports breaking news in  Hong Kong and around the world.,9/8/2019 11:59,4232,44,6,FALSE,"HK logs 8,260 COVID-19 cases today,  first 2 local XBB.1.5 subvariant cases detected, 71 more patients pass away https://t.co/aLekQicdGh",1/13/2023 9:20,,Zapier.com,FALSE
WFAA,"Dallas, TX","From our historic coverage of the JFK assassination to highlighting the biggest local stories of each day, WFAA has served North Texas for nearly 75 years.",8/1/2008 20:46,631086,3938,12415,TRUE,XBB.1.5 COVID-19 subvariant: 4 Fast Facts https://t.co/xBonOzevQl,1/13/2023 7:00,,SocialNewsDesk,FALSE
Sam Wong AM (黃樹樑）,"Canberra, Australian Capital Territory","Past Chair, Aust Red Cross(ACT Division); former Principal Pharmacist, TGA, Dept of Health, Aust Government (retired after 37 years). Now a full time Volunteer.",5/9/2013 9:35,679,418,283,FALSE,Masks recommended on long-haul flights by World Health Organization as COVID-19 subvariant XBB.1.5 spreads - ABC Ne… https://t.co/AFso2B7nyv,1/13/2023 6:38,,Twitter for iPhone,FALSE
MR,,,2/24/2012 6:56,3,66,75,FALSE,Chinese foreign ministry spokesperson Wang Wenbin on Monday said the United States should share domestic COVID-19 i… https://t.co/L0irq1Kgmb,1/13/2023 3:09,,Twitter Web App,FALSE
Spectrum News NY1,New York City,The 24-hour news network dedicated to NYC. NY1 is also on Facebook (NY1News) and Instagram (NY1).,5/29/2009 22:37,464712,133,2071,TRUE,The latest COVID-19 strain spreading around the United States could be the most transmissible variant or subvariant… https://t.co/qcMKXpdyuW,1/13/2023 1:00,,SocialNewsDesk,FALSE
Spectrum News 1 BUF,"Buffalo, NY","Spectrum News 1 offers the best 24-hour local news coverage in Buffalo plus weather, sports and your favorite features.",3/24/2009 21:43,30373,376,857,TRUE,The latest COVID-19 strain spreading around the United States could be the most transmissible variant or subvariant… https://t.co/TUdDjHSspE,1/13/2023 0:00,,SocialNewsDesk,FALSE
SoziologIn stand with Ukraine 💙💛,she/her,"'There's a special place in hell for women who don't support other women' (Madeleine Albright).

@SoziologIn@muenchen.social. Views are my own.",7/13/2020 10:52,760,2077,34320,FALSE,"@Wissing 🛑Masken in Zügen abschaffen, absolut falsches Signal!

""XBB.1.5 - the most transmissible Omicron subvarian… https://t.co/F0MmdVCnV4",1/12/2023 23:57,,Twitter for Android,FALSE
TX Capital Tonight,"Austin, TX",Capital Tonight is Spectrum News' statewide live political show airing every weeknight at 7 p.m. Follow us for all your Texas political news!,7/21/2011 15:28,5888,975,459,TRUE,What to know about the XBB.1.5 COVID-19 subvariant https://t.co/ORxLESUJJt,1/12/2023 23:43,,Twitter Web App,FALSE
Spectrum Bay News 9,Tampa Bay area,"Breaking news first in Tampa Bay. Continuous updates and in-depth coverage only @BN9, @BN9weather and @BN9Traffic can provide  |  News. Weather. Now.",11/11/2008 12:03,384550,444,1764,TRUE,The latest COVID-19 strain spreading around the United States could be the most transmissible variant or subvariant… https://t.co/546kubuge8,1/12/2023 23:15,,SocialNewsDesk,FALSE
Kings County REMO #KingsREMO,"Wolfville, Nova Scotia","We are all responsible for Emergency Preparedness. By failing to prepare, you are preparing to fail -- Benjamin Franklin (Account is not monitored 24/7)",1/23/2015 20:45,827,18,794,FALSE,"2023-01-12 Cases of 'Kraken' (XBB.1.5) subvariant of COVID-19 double in one week, PHAC says. PHAC says the same old… https://t.co/btFEpjV24v",1/12/2023 23:00,,Twitter for iPhone,FALSE
OMG Science Briefly,Internet,"A Science community with less noise & more highlights
on @briefly_tldr. Follow for an invite to join our open beta!",9/5/2014 3:07,4580,4946,32012,FALSE,"XBB.1.5: Still more questions than answers on risk of latest omicro... (Ars Technica)

Amid a winter wave of COVID-… https://t.co/xi7k9Nu76C",1/12/2023 22:40,,OMG Science PLOW,FALSE
Nina Wu,Honolulu,Reporter @StarAdvertiser | Health and sustainability issues | Berkeley @UCBSoJ @FletcherSchool grad. Opinions are my own.,11/12/2008 3:01,6771,5573,64806,TRUE,WHO weighs in on Omicron XBB.1.5 subvariant; US extends COVID health emergency https://t.co/KailspQKOI,1/12/2023 22:05,,Twitter Web App,FALSE
VERIFY,,VERIFY is dedicated to fighting the spread of misinformation & helping you determine what's true and what's false. Part of @TEGNA.,11/16/2020 19:42,13641,152,315,TRUE,The latest COVID-19 subvariant spreading across the U.S. is called XBB.1.5. Here's how the symptoms compare to othe… https://t.co/pI3rhdDV47,1/12/2023 22:00,,SocialNewsDesk,FALSE
7News,"Watertown, New York","WWNY TV is a CBS affiliate in Watertown, NY. Its sister stations are WNYF and MeTV. The studio is located on Arcade Street in Downtown Watertown.",11/3/2010 16:31,4928,479,127,FALSE,With the new year comes a new variant of Covid-19.XBB 1.5 is a subvariant of omicron and is highly infectious. A lo… https://t.co/r6pwDe7hTY,1/12/2023 21:46,,SocialNewsDesk,FALSE
Spectrum News 13,"Orlando, FL",#BreakingNews in #Orlando and all of Central Florida. Also at @MyNews13Weather and @MyNews13Traffic — Send breaking news tips: N13-Desk@charter.com,11/13/2008 14:08,266243,2160,2330,TRUE,"The latest COVID-19 strain could be the most transmissible variant or subvariant yet, health experts say. The omicr… https://t.co/5zhUyEPcY1",1/12/2023 21:30,,SocialNewsDesk,FALSE
Spectrum News 1 HV,Hudson Valley,"Spectrum News 1 offers the best 24-hour local news coverage plus weather, sports and your favorite features.",3/29/2010 21:13,13383,280,102,FALSE,"The latest COVID-19 strain spreading around the U.S. is XBB.1.5, an omicron subvariant. It accounts for more than 7… https://t.co/smlI9YBGJ7",1/12/2023 21:25,,SocialNewsDesk,FALSE
Spectrum News 1 Albany,,Spectrum News 1 is a 24-hour local news channel exclusively available to Spectrum customers in the Capital Region.,3/26/2009 3:15,67902,1354,610,TRUE,"The latest COVID-19 strain spreading around the U.S. is XBB.1.5, an omicron subvariant. It accounts for more than 7… https://t.co/TZ62h3UeoP",1/12/2023 21:25,,SocialNewsDesk,FALSE
